datetime,pickups,returns,net_flow,station_id,station_name,date,hour,minute,op_date,daily_cumulative
2026-06-02 01:15:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-02,1,15,2026-06-01,-2.0
2026-06-02 01:30:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-02,1,30,2026-06-01,-2.0
2026-06-02 01:45:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-02,1,45,2026-06-01,-2.0
2026-06-02 02:00:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-02,2,0,2026-06-01,-2.0
2026-06-02 02:15:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-02,2,15,2026-06-01,-2.0
2026-06-02 02:30:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-02,2,30,2026-06-01,-2.0
2026-06-02 02:45:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-02,2,45,2026-06-01,-2.0
2026-06-02 03:00:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-02,3,0,2026-06-01,-2.0
2026-06-02 03:15:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-02,3,15,2026-06-01,-2.0
2026-06-02 03:30:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-02,3,30,2026-06-01,-2.0
2026-06-02 03:45:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-02,3,45,2026-06-01,-2.0
2026-06-02 04:00:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-02,4,0,2026-06-01,-2.0
2026-06-02 04:15:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-02,4,15,2026-06-01,-2.0
2026-06-02 04:30:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-02,4,30,2026-06-01,-2.0
2026-06-02 04:45:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-02,4,45,2026-06-01,-2.0
2026-06-02 05:00:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-02,5,0,2026-06-02,0.0
2026-06-02 05:15:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-02,5,15,2026-06-02,0.0
2026-06-02 05:30:00+00:00,0.0,1.0,1.0,HB106,River St & Newark St,2026-06-02,5,30,2026-06-02,1.0
2026-06-02 05:45:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-02,5,45,2026-06-02,1.0
2026-06-02 06:00:00+00:00,0.0,5.0,5.0,HB106,River St & Newark St,2026-06-02,6,0,2026-06-02,6.0
2026-06-02 06:15:00+00:00,0.0,3.0,3.0,HB106,River St & Newark St,2026-06-02,6,15,2026-06-02,9.0
2026-06-02 06:30:00+00:00,2.0,5.0,3.0,HB106,River St & Newark St,2026-06-02,6,30,2026-06-02,12.0
2026-06-02 06:45:00+00:00,0.0,7.0,7.0,HB106,River St & Newark St,2026-06-02,6,45,2026-06-02,19.0
2026-06-02 07:00:00+00:00,0.0,12.0,12.0,HB106,River St & Newark St,2026-06-02,7,0,2026-06-02,31.0
